Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Angola,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002
Benin,7894554,8149419,8402631,8647761,8906469,9172514,9445710,9726380,10014078,10308730
Burkina Faso,13445977,13876127,14316242,14757074,15197915,15650022,16116845,16602651,17113732,17636408
Botswana,1859085,1892807,1928704,1966977,2007320,2048997,2091664,2134037,2175425,2217278
Central African Republic,4115138,4208834,4294352,4375569,4467233,4564540,4660067,4732022,4773306,4802428
Cote d'Ivoire,18544903,18970215,19394057,19817700,20244449,20677762,21120042,21562914,22010712,22469268
Cameroon,16809407,17275171,17751333,18251866,18777081,19319274,19878036,20448873,21032684,21632850
Cabo Verde,486583,492827,498884,504733,510336,515638,521212,527521,533864,539940
Djibouti,818373,830861,846947,865196,882886,901103,919199,936811,954297,971753
Algeria,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626
Ethiopia,75301026,77469940,79691050,81996185,84357105,86755585,89237791,91817929,94451280,97084366
Gabon,1417110,1458353,1502534,1549774,1599978,1653542,1711105,1772500,1836705,1902226
Ghana,21906444,22496951,23098586,23708320,24326087,24950762,25574719,26205941,26858762,27525597
Guinea,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712,10788692,11055430
Guinea-Bissau,1347009,1379713,1414091,1450572,1488431,1527196,1567220,1609017,1652717,1697753
Kenya,34791836,35843010,36925253,38036793,39186895,40364444,41517895,42635144,43725806,44792368
Liberia,3122447,3266318,3455397,3632740,3783887,3905066,4019956,4181150,4331740,4427313
Lesotho,1985384,1977424,1976780,1983465,1995014,2009169,2022747,2037677,2054718,2073939
Morocco,30033125,30431902,30833022,31232633,31634992,32042877,32464865,32903699,33352169,33803527
Madagascar,18250774,18792171,19350299,19924958,20513599,21117092,21731053,22348158,22966240,23588073
Mali,12751995,13180551,13623541,14080912,14551117,15032635,15529181,16039734,16514687,17004033
Mozambique,19694411,20211114,20735982,21280513,21845571,22436660,23073723,23760421,24487611,25251731
Mauritania,2946575,3012360,3081229,3153508,3233336,3322616,3419461,3524249,3636113,3742959
Mauritius,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258927
Malawi,12411342,12755648,13118307,13495463,13889423,14298932,14718422,15146094,15581251,16024775
Namibia,1939406,1962865,1986558,2011492,2038552,2067919,2099271,2132340,2167470,2204510
Niger,13366885,13855221,14365168,14897873,15455175,16037915,16647543,17283112,17954407,18653199
Nigeria,136756848,140490722,144329764,148294028,152382506,156595758,160952853,165463745,170075932,174726123
Rwanda,8791853,9026299,9270066,9523168,9781996,10043737,10309031,10576932,10840334,11101350
Sudan,28831550,29540577,30332968,31191163,32065241,32948155,33739933,34419624,35159792,35990704
Senegal,10698691,10974057,11263387,11563869,11872929,12195029,12530121,12875880,13231833,13595566
Sierra Leone,5533329,5683334,5809774,5939163,6090860,6259842,6436698,6612385,6788587,6964859
Sao Tome and Principe,157697,161680,165725,169845,174004,178128,182138,186044,189924,193757
Chad,9613503,10005012,10365614,10722731,11098664,11496128,11894727,12317730,12754906,13216766
Togo,5565218,5711597,5874240,6047537,6222482,6398624,6571855,6748672,6926635,7106229
Tunisia,10292225,10388344,10483558,10580395,10680380,10784504,10895063,11032528,11174383,11300284
Tanzania,38360879,39439505,40562052,41716497,42870884,43957933,45110527,46416031,47786137,49253643
Uganda,27146084,27946588,28773227,29629804,30509862,31412520,32341728,33295738,34273295,35273570
South Africa,48556071,49017147,49491756,49996094,50565812,51170779,51784921,52443325,53145033,53873616
Zambia,11188040,11564870,11971567,12402073,12852966,13318087,13792086,14265814,14744658,15234976
Zimbabwe,12160881,12224753,12330490,12450568,12550347,12679810,12839771,13025785,13265331,13555422
